title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Quantum Eco-Friendly Apartments,"Miami, FL",Residential,$200,10.3%,$8.00M,40000,28240,11760,70.6%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices and water recycling infrastructure.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Magnolia Tower Residences,"Seattle, WA",Residential,$85,12.4%,$4.25M,50000,33450,16550,66.9%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Quantum Logistics Hub,"Tampa, FL",Industrial,$50,7.9%,$0.50M,10000,7750,2250,77.5%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Summit Ski Resort Lodges,"Miami, FL",Hospitality,$80,12.0%,$3.20M,40000,33560,6440,83.9%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Alpine Peaks Shopping Centre,"Boston, MA",Commercial,$100,11.8%,$5.00M,50000,23150,26850,46.3%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors, and exceptional neighborhood vehicular visibility.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Harbor Office Park,"San Francisco, CA",Commercial,$150,9.7%,$7.50M,50000,28800,21200,57.6%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Horizon Luxury Student Housing,"Tampa, FL",Residential,$80,12.5%,$1.20M,15000,7635,7365,50.9%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Foundry Senior Living Campus,"Austin, TX",Residential,$60,7.4%,$0.90M,15000,11445,3555,76.3%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Pinnacle Ski Resort Lodges,"Miami, FL",Hospitality,$100,8.8%,$2.50M,25000,13150,11850,52.6%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Riverwalk Innovation Tech Center,"Miami, FL",Commercial,$250,11.8%,$5.00M,20000,14840,5160,74.2%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Crestview Office Park,"Atlanta, GA",Commercial,$120,6.5%,$6.00M,50000,41900,8100,83.8%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Aspen Office Park,"Atlanta, GA",Commercial,$150,12.0%,$7.50M,50000,15950,34050,31.9%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Aspen Medical Office Complex,"San Francisco, CA",Commercial,$75,8.7%,$1.12M,15000,8025,6975,53.5%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Beacon Luxury Student Housing,"Boston, MA",Residential,$50,7.2%,$1.00M,20000,16820,3180,84.1%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Clearwater Beach Office Park,"Austin, TX",Commercial,$80,11.8%,$0.80M,10000,1270,8730,12.7%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Highland Resort & Spa,"Miami, FL",Hospitality,$150,11.1%,$2.25M,15000,9660,5340,64.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Northgate Innovation Tech Center,"Denver, CO",Commercial,$150,11.7%,$3.75M,25000,22949,2051,91.8%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Foundry Innovation Tech Center,"San Francisco, CA",Commercial,$85,8.9%,$4.25M,50000,31750,18250,63.5%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Aspen Resort & Spa,"Boston, MA",Hospitality,$60,8.0%,$0.60M,10000,3540,6460,35.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Emerald Luxury Student Housing,"San Francisco, CA",Residential,$200,7.8%,$2.00M,10000,6870,3130,68.7%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Clearwater Beach Mixed-Use Plaza,"Miami, FL",Commercial,$50,11.7%,$0.50M,10000,5130,4870,51.3%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Quantum Office Park,"Boston, MA",Commercial,$80,9.7%,$4.00M,50000,44600,5400,89.2%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Silverstone Luxury Student Housing,"Boston, MA",Residential,$80,11.2%,$2.00M,25000,5525,19475,22.1%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Quantum Senior Living Campus,"Seattle, WA",Residential,$90,9.0%,$2.25M,25000,20675,4325,82.7%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Quantum Mixed-Use Plaza,"Miami, FL",Commercial,$50,8.9%,$1.00M,20000,15419,4581,77.1%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Clearwater Beach Senior Living Campus,"San Francisco, CA",Residential,$80,9.7%,$1.20M,15000,6450,8550,43.0%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Magnolia Office Park,"San Francisco, CA",Commercial,$60,9.2%,$2.40M,40000,5520,34480,13.8%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Emerald Medical Office Complex,"Austin, TX",Commercial,$60,12.1%,$0.90M,15000,3000,12000,20.0%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Cypress Resort & Spa,"San Francisco, CA",Hospitality,$100,11.9%,$1.50M,15000,5865,9135,39.1%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Vista Resort & Spa,"Seattle, WA",Hospitality,$150,10.5%,$3.75M,25000,4724,20276,18.9%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Alpine Peaks Office Park,"Austin, TX",Commercial,$200,10.9%,$2.00M,10000,7230,2770,72.3%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Sunrise Mixed-Use Plaza,"Boston, MA",Commercial,$150,12.0%,$6.00M,40000,7680,32320,19.2%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Sunset Innovation Tech Center,"Atlanta, GA",Commercial,$60,10.1%,$3.00M,50000,41300,8700,82.6%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Oakwood Ski Resort Lodges,"San Francisco, CA",Hospitality,$200,10.1%,$8.00M,40000,4960,35040,12.4%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Silverstone Medical Office Complex,"Phoenix, AZ",Commercial,$90,12.1%,$1.35M,15000,9795,5205,65.3%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Clearwater Beach Shopping Centre,"Denver, CO",Commercial,$100,7.3%,$5.00M,50000,16000,34000,32.0%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors, and exceptional neighborhood vehicular visibility.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Foundry Shopping Centre,"Miami, FL",Commercial,$50,9.2%,$2.00M,40000,37840,2160,94.6%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors, and exceptional neighborhood vehicular visibility.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Emerald Senior Living Campus,"San Francisco, CA",Residential,$150,8.1%,$3.00M,20000,16860,3140,84.3%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Meridian Logistics Hub,"Denver, CO",Industrial,$75,9.1%,$3.00M,40000,27319,12681,68.3%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Grandview Luxury Student Housing,"Phoenix, AZ",Residential,$50,10.5%,$2.00M,40000,12760,27240,31.9%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Oakwood Medical Office Complex,"Atlanta, GA",Commercial,$85,7.2%,$0.85M,10000,7180,2820,71.8%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Summit Tower Residences,"Denver, CO",Residential,$200,7.8%,$4.00M,20000,4660,15340,23.3%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Summit Medical Office Complex,"Phoenix, AZ",Commercial,$120,8.0%,$1.20M,10000,1330,8670,13.3%,"Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care, diagnostic services, and private practice offices.",Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Highland Ski Resort Lodges,"Denver, CO",Hospitality,$50,6.5%,$0.75M,15000,9345,5655,62.3%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Northgate Office Park,"Boston, MA",Commercial,$150,10.7%,$6.00M,40000,2360,37640,5.9%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Apex Senior Living Campus,"Atlanta, GA",Residential,$150,6.7%,$3.00M,20000,11480,8520,57.4%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Crestview Tower Residences,"Atlanta, GA",Residential,$50,8.3%,$0.50M,10000,8590,1410,85.9%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Meridian Senior Living Campus,"Phoenix, AZ",Residential,$100,12.3%,$5.00M,50000,9449,40551,18.9%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Northgate Logistics Hub,"Atlanta, GA",Industrial,$100,6.6%,$5.00M,50000,44100,5900,88.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Grandview Ski Resort Lodges,"San Francisco, CA",Hospitality,$85,7.5%,$4.25M,50000,7350,42650,14.7%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Cypress Mixed-Use Plaza,"San Francisco, CA",Commercial,$80,11.4%,$2.00M,25000,9125,15875,36.5%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Clearwater Beach Logistics Hub,"Austin, TX",Industrial,$250,7.7%,$5.00M,20000,6020,13980,30.1%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Meridian Office Park,"Phoenix, AZ",Commercial,$100,10.6%,$4.00M,40000,13919,26081,34.8%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Oakwood Mixed-Use Plaza,"Denver, CO",Commercial,$75,10.0%,$1.50M,20000,1680,18320,8.4%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Crestview Luxury Student Housing,"Tampa, FL",Residential,$90,9.1%,$3.60M,40000,6160,33840,15.4%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Alpine Peaks Luxury Student Housing,"Denver, CO",Residential,$50,10.8%,$0.50M,10000,5180,4820,51.8%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Quantum Innovation Tech Center,"San Francisco, CA",Commercial,$90,9.1%,$4.50M,50000,43950,6050,87.9%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces, and corporate green workspace structures.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
