title,price_per_share,approximate_profitability,picture_url
"Horizon Ski Resort Lodges (Jackson Hole, WY)",$217,10.6%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Riverwalk Innovation Tech Center (San Jose, CA)",$138,9.0%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Foundry Office Park (Boston, MA)",$87,7.6%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Magnolia Tower Residences (Miami, FL)",$117,8.4%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Sterling Senior Living Campus (Orlando, FL)",$110,8.8%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Harbor Logistics Hub (Louisville, KY)",$89,8.8%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Beacon Luxury Student Housing (Gainesville, FL)",$60,8.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Highland Shopping Centre (Las Vegas, NV)",$62,6.6%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Sunset Luxury Student Housing (Ann Arbor, MI)",$83,8.8%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Foundry Senior Living Campus (Phoenix, AZ)",$78,9.0%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Northgate Innovation Tech Center (Raleigh, NC)",$128,8.9%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Foundry Innovation Tech Center (Austin, TX)",$140,7.8%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Magnolia Shopping Centre (Columbus, OH)",$58,6.9%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Beacon Senior Living Campus (Scottsdale, AZ)",$107,8.8%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Clearwater Beach Luxury Student Housing (Ann Arbor, MI)",$62,9.2%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Sunset Shopping Centre (Phoenix, AZ)",$63,7.5%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"emerald Logistics Hub (Memphis, TN)",$88,10.4%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Silverstone Luxury Student Housing (Gainesville, FL)",$67,9.4%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Oakwood Senior Living Campus (Tucson, AZ)",$92,8.6%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Legacy Resort & Spa (Tampa, FL)",$206,10.6%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Horizon Mixed-Use Plaza (Dallas, TX)",$96,9.1%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Harbor Resort & Spa (Maui, HI)",$143,9.7%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Sunset Logistics Hub (Indianapolis, IN)",$90,10.2%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Oakwood Innovation Tech Center (San Jose, CA)",$136,9.2%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Sunset Mixed-Use Plaza (Houston, TX)",$100,9.5%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Alpine Peaks Resort & Spa (Maui, HI)",$127,9.4%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Vista Resort & Spa (Maui, HI)",$209,11.4%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Quantum Innovation Tech Center (Seattle, WA)",$104,7.6%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Sunrise Logistics Hub (Atlanta, GA)",$88,9.1%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Silverstone Mixed-Use Plaza (Charlotte, NC)",$122,10.8%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Aspen Mixed-Use Plaza (Austin, TX)",$101,8.7%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Quantum Senior Living Campus (Phoenix, AZ)",$95,8.2%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Pinnacle Luxury Student Housing (Ann Arbor, MI)",$79,8.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Silverstone Medical Office Complex (Baltimore, MD)",$101,7.8%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Beacon Eco-Friendly Apartments (Seattle, WA)",$71,7.4%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Magnolia Office Park (Boston, MA)",$128,8.9%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Magnolia Mixed-Use Plaza (Austin, TX)",$94,9.8%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Summit Innovation Tech Center (Austin, TX)",$117,9.0%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Meridian Logistics Hub (Louisville, KY)",$70,9.4%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Apex Innovation Tech Center (Raleigh, NC)",$134,9.2%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Aspen Medical Office Complex (Philadelphia, PA)",$120,7.9%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Summit Tower Residences (Miami, FL)",$77,8.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Pinnacle Office Park (Seattle, WA)",$125,7.7%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Aspen Office Park (Austin, TX)",$96,8.8%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Crestview Medical Office Complex (Baltimore, MD)",$87,7.5%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Sterling Tower Residences (Los Angeles, CA)",$91,8.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"emerald Ski Resort Lodges (Vail, CO)",$164,10.2%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Harbor Eco-Friendly Apartments (Portland, OR)",$78,7.7%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Crestview Tower Residences (New York, NY)",$60,7.1%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Meridian Mixed-Use Plaza (Houston, TX)",$133,9.1%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Meridian Senior Living Campus (Tucson, AZ)",$109,9.1%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Northgate Mixed-Use Plaza (Dallas, TX)",$140,10.8%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Legacy Medical Office Complex (Cleveland, OH)",$102,7.7%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Oakwood Eco-Friendly Apartments (Boulder, CO)",$57,8.2%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Alpine Peaks Logistics Hub (Indianapolis, IN)",$76,9.1%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Clearwater Beach Logistics Hub (Atlanta, GA)",$86,8.9%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Summit Shopping Centre (Denver, CO)",$85,7.7%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Sterling Shopping Centre (Columbus, OH)",$76,8.0%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Beacon Innovation Tech Center (San Jose, CA)",$102,9.0%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Northgate Office Park (Boston, MA)",$82,7.2%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Meridian Ski Resort Lodges (Park City, UT)",$205,11.5%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Silverstone Ski Resort Lodges (Aspen, CO)",$182,10.1%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Riverwalk Ski Resort Lodges (Aspen, CO)",$196,11.1%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Beacon Medical Office Complex (Baltimore, MD)",$92,8.6%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Quantum Office Park (Austin, TX)",$100,7.8%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"emerald Office Park (Seattle, WA)",$92,7.8%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Quantum Ski Resort Lodges (Aspen, CO)",$228,11.4%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Vista Mixed-Use Plaza (Dallas, TX)",$103,9.6%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Magnolia Resort & Spa (Maui, HI)",$206,9.5%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
