title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Foundry Mixed-Use Plaza,"Atlanta, GA",Commercial,$100,8.5%,$1.50M,15000,3660,11340,24.4%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1527030280862-64139fbe04ca?q=80&w=600&auto=format&fit=crop&uniq_id=asset_10
Oakwood Shopping Centre,"Miami, FL",Commercial,$100,7.1%,$2.00M,20000,11860,8140,59.3%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1464938050520-ef2270bb8ce8?q=80&w=600&auto=format&fit=crop&uniq_id=asset_11
Legacy Mixed-Use Plaza,"Boston, MA",Commercial,$150,7.2%,$3.75M,25000,3025,21975,12.1%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1504297050568-910d24c426d3?q=80&w=600&auto=format&fit=crop&uniq_id=asset_12
Highland Office Park,"Tampa, FL",Commercial,$200,7.7%,$2.00M,10000,910,9090,9.1%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1568605114967-8130f3a36994?q=80&w=600&auto=format&fit=crop&uniq_id=asset_13
Foundry Logistics Hub,"Denver, CO",Industrial,$60,11.6%,$0.60M,10000,3920,6080,39.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1554469384-e58fac16e23a?q=80&w=600&auto=format&fit=crop&uniq_id=asset_14
Sterling Resort & Spa,"Tampa, FL",Hospitality,$75,8.7%,$1.12M,15000,9795,5205,65.3%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop&uniq_id=asset_15
Quantum Eco-Friendly Apartments,"Miami, FL",Residential,$200,10.3%,$8.00M,40000,28240,11760,70.6%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?q=80&w=600&auto=format&fit=crop&uniq_id=asset_16
Magnolia Tower Residences,"Seattle, WA",Residential,$85,12.4%,$4.25M,50000,33450,16550,66.9%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?q=80&w=600&auto=format&fit=crop&uniq_id=asset_17
Quantum Logistics Hub,"Tampa, FL",Industrial,$50,7.9%,$0.50M,10000,7750,2250,77.5%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1549517045-bc93de075e53?q=80&w=600&auto=format&fit=crop&uniq_id=asset_18
Summit Ski Resort Lodges,"Miami, FL",Hospitality,$80,12.0%,$3.20M,40000,33560,6440,83.9%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?q=80&w=600&auto=format&fit=crop&uniq_id=asset_19
Alpine Peaks Shopping Centre,"Boston, MA",Commercial,$100,11.8%,$5.00M,50000,23150,26850,46.3%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?q=80&w=600&auto=format&fit=crop&uniq_id=asset_20
Harbor Office Park,"San Francisco, CA",Commercial,$150,9.7%,$7.50M,50000,28800,21200,57.6%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?q=80&w=600&auto=format&fit=crop&uniq_id=asset_21
Horizon Luxury Student Housing,"Tampa, FL",Residential,$80,12.5%,$1.20M,15000,7635,7365,50.9%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?q=80&w=600&auto=format&fit=crop&uniq_id=asset_22
Foundry Senior Living Campus,"Austin, TX",Residential,$60,7.4%,$0.90M,15000,11445,3555,76.3%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?q=80&w=600&auto=format&fit=crop&uniq_id=asset_23
Pinnacle Ski Resort Lodges,"Miami, FL",Hospitality,$100,8.8%,$2.50M,25000,13150,11850,52.6%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?q=80&w=600&auto=format&fit=crop&uniq_id=asset_24
Riverwalk Innovation Tech Center,"Miami, FL",Commercial,$250,11.8%,$5.00M,20000,14840,5160,74.2%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1512915922686-57c11dde9b6b?q=80&w=600&auto=format&fit=crop&uniq_id=asset_25
Crestview Office Park,"Atlanta, GA",Commercial,$120,6.5%,$6.00M,50000,41900,8100,83.8%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1513584684374-8bab748fbf90?q=80&w=600&auto=format&fit=crop&uniq_id=asset_26
Aspen Office Park,"Atlanta, GA",Commercial,$150,12.0%,$7.50M,50000,15950,34050,31.9%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1523217582562-09d0def993a6?q=80&w=600&auto=format&fit=crop&uniq_id=asset_27
Aspen Medical Office Complex,"San Francisco, CA",Commercial,$75,8.7%,$1.12M,15000,8025,6975,53.5%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1592595896551-12b371d546d5?q=80&w=600&auto=format&fit=crop&uniq_id=asset_28
Beacon Luxury Student Housing,"Boston, MA",Residential,$50,7.2%,$1.00M,20000,16820,3180,84.1%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?q=80&w=600&auto=format&fit=crop&uniq_id=asset_29
Clearwater Beach Office Park,"Austin, TX",Commercial,$80,11.8%,$0.80M,10000,1270,8730,12.7%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop&uniq_id=asset_30
Highland Resort & Spa,"Miami, FL",Hospitality,$150,11.1%,$2.25M,15000,9660,5340,64.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1601584115197-04ecc0da31d7?q=80&w=600&auto=format&fit=crop&uniq_id=asset_31
Northgate Innovation Tech Center,"Denver, CO",Commercial,$150,11.7%,$3.75M,25000,22949,2051,91.8%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1553413077-190dd305871c?q=80&w=600&auto=format&fit=crop&uniq_id=asset_32
Foundry Innovation Tech Center,"San Francisco, CA",Commercial,$85,8.9%,$4.25M,50000,31750,18250,63.5%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1569003339405-ea396a5a8a90?q=80&w=600&auto=format&fit=crop&uniq_id=asset_33
Aspen Resort & Spa,"Boston, MA",Hospitality,$60,8.0%,$0.60M,10000,3540,6460,35.4%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1578575437130-527eed3abbec?q=80&w=600&auto=format&fit=crop&uniq_id=asset_34
Emerald Luxury Student Housing,"San Francisco, CA",Residential,$200,7.8%,$2.00M,10000,6870,3130,68.7%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1506521781263-d8422e82f27a?q=80&w=600&auto=format&fit=crop&uniq_id=asset_35
Clearwater Beach Mixed-Use Plaza,"Miami, FL",Commercial,$50,11.7%,$0.50M,10000,5130,4870,51.3%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1587293852726-70cdb56c2866?q=80&w=600&auto=format&fit=crop&uniq_id=asset_36
Quantum Office Park,"Boston, MA",Commercial,$80,9.7%,$4.00M,50000,44600,5400,89.2%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1590674899484-d5640e854abe?q=80&w=600&auto=format&fit=crop&uniq_id=asset_37
Silverstone Luxury Student Housing,"Boston, MA",Residential,$80,11.2%,$2.00M,25000,5525,19475,22.1%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1494412574643-ff11b0a5c1c3?q=80&w=600&auto=format&fit=crop&uniq_id=asset_38
Quantum Senior Living Campus,"Seattle, WA",Residential,$90,9.0%,$2.25M,25000,20675,4325,82.7%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1533929736458-ca588d08c8be?q=80&w=600&auto=format&fit=crop&uniq_id=asset_39
Quantum Mixed-Use Plaza,"Miami, FL",Commercial,$50,8.9%,$1.00M,20000,15419,4581,77.1%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1616401784845-180882ba9ba8?q=80&w=600&auto=format&fit=crop&uniq_id=asset_40
Clearwater Beach Senior Living Campus,"San Francisco, CA",Residential,$80,9.7%,$1.20M,15000,6450,8550,43.0%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1521587760476-6c12a4b040da?q=80&w=600&auto=format&fit=crop&uniq_id=asset_41
Magnolia Office Park,"San Francisco, CA",Commercial,$60,9.2%,$2.40M,40000,5520,34480,13.8%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop&uniq_id=asset_42
Emerald Medical Office Complex,"Austin, TX",Commercial,$60,12.1%,$0.90M,15000,3000,12000,20.0%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1548777123-e2169a2df318?q=80&w=600&auto=format&fit=crop&uniq_id=asset_43
Cypress Resort & Spa,"San Francisco, CA",Hospitality,$100,11.9%,$1.50M,15000,5865,9135,39.1%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1482862549707-f63cb32c5fd9?q=80&w=600&auto=format&fit=crop&uniq_id=asset_44
Vista Resort & Spa,"Seattle, WA",Hospitality,$150,10.5%,$3.75M,25000,4724,20276,18.9%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop&uniq_id=asset_45
Alpine Peaks Office Park,"Austin, TX",Commercial,$200,10.9%,$2.00M,10000,7230,2770,72.3%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1571896349842-33c89424de2d?q=80&w=600&auto=format&fit=crop&uniq_id=asset_46
Sunrise Mixed-Use Plaza,"Boston, MA",Commercial,$150,12.0%,$6.00M,40000,7680,32320,19.2%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=600&auto=format&fit=crop&uniq_id=asset_47
Sunset Innovation Tech Center,"Atlanta, GA",Commercial,$60,10.1%,$3.00M,50000,41300,8700,82.6%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=600&auto=format&fit=crop&uniq_id=asset_48
Oakwood Ski Resort Lodges,"San Francisco, CA",Hospitality,$200,10.1%,$8.00M,40000,4960,35040,12.4%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1584132967334-10e028bd69f7?q=80&w=600&auto=format&fit=crop&uniq_id=asset_49
Silverstone Medical Office Complex,"Phoenix, AZ",Commercial,$90,12.1%,$1.35M,15000,9795,5205,65.3%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1546548970-71785318a17b?q=80&w=600&auto=format&fit=crop&uniq_id=asset_50
Clearwater Beach Shopping Centre,"Denver, CO",Commercial,$100,7.3%,$5.00M,50000,16000,34000,32.0%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1439066615861-d1af74d74000?q=80&w=600&auto=format&fit=crop&uniq_id=asset_51
Foundry Shopping Centre,"Miami, FL",Commercial,$50,9.2%,$2.00M,40000,37840,2160,94.6%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=600&auto=format&fit=crop&uniq_id=asset_52
Emerald Senior Living Campus,"San Francisco, CA",Residential,$150,8.1%,$3.00M,20000,16860,3140,84.3%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1505118380757-91f5f5632de0?q=80&w=600&auto=format&fit=crop&uniq_id=asset_53
Meridian Logistics Hub,"Denver, CO",Industrial,$75,9.1%,$3.00M,40000,27319,12681,68.3%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1515238152791-8216bfdf89a7?q=80&w=600&auto=format&fit=crop&uniq_id=asset_54
Grandview Luxury Student Housing,"Phoenix, AZ",Residential,$50,10.5%,$2.00M,40000,12760,27240,31.9%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?q=80&w=600&auto=format&fit=crop&uniq_id=asset_55
Oakwood Medical Office Complex,"Atlanta, GA",Commercial,$85,7.2%,$0.85M,10000,7180,2820,71.8%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?q=80&w=600&auto=format&fit=crop&uniq_id=asset_56
Summit Tower Residences,"Denver, CO",Residential,$200,7.8%,$4.00M,20000,4660,15340,23.3%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=57&query=residential&uniq_id=asset_57
Summit Medical Office Complex,"Phoenix, AZ",Commercial,$120,8.0%,$1.20M,10000,1330,8670,13.3%,Healthcare and multi-disciplinary clinic medical building fully optimized for outpatient care.,Steady healthcare tenant profile stability,Custom built-in specialized laboratory utilities,Adjacent to municipal hospital systems,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=58&query=commercial&uniq_id=asset_58
Highland Ski Resort Lodges,"Denver, CO",Hospitality,$50,6.5%,$0.75M,15000,9345,5655,62.3%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=59&query=hospitality&uniq_id=asset_59
Northgate Office Park,"Boston, MA",Commercial,$150,10.7%,$6.00M,40000,2360,37640,5.9%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=60&query=commercial&uniq_id=asset_60
Apex Senior Living Campus,"Atlanta, GA",Residential,$150,6.7%,$3.00M,20000,11480,8520,57.4%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=61&query=residential&uniq_id=asset_61
Crestview Tower Residences,"Atlanta, GA",Residential,$50,8.3%,$0.50M,10000,8590,1410,85.9%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=62&query=residential&uniq_id=asset_62
Meridian Senior Living Campus,"Phoenix, AZ",Residential,$100,12.3%,$5.00M,50000,9449,40551,18.9%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=63&query=residential&uniq_id=asset_63
Northgate Logistics Hub,"Atlanta, GA",Industrial,$100,6.6%,$5.00M,50000,44100,5900,88.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=64&query=industrial&uniq_id=asset_64
Grandview Ski Resort Lodges,"San Francisco, CA",Hospitality,$85,7.5%,$4.25M,50000,7350,42650,14.7%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=65&query=hospitality&uniq_id=asset_65
Cypress Mixed-Use Plaza,"San Francisco, CA",Commercial,$80,11.4%,$2.00M,25000,9125,15875,36.5%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=66&query=commercial&uniq_id=asset_66
Horizon Logistics Hub,"Tampa, FL",Industrial,$85,11.7%,$1.70M,20000,7320,12680,36.6%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=67&query=industrial&uniq_id=asset_67
Horizon Innovation Tech Center,"Phoenix, AZ",Commercial,$90,12.1%,$0.90M,10000,8390,1610,83.9%,"Advanced technological campus featuring dedicated cleanrooms, hybrid lab spaces.",Flexible lab and R&D layout designs,Subsidized localized energy grid infrastructure,Highly-educated local labor pool market,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=68&query=commercial&uniq_id=asset_68
Summit Luxury Student Housing,"Austin, TX",Residential,$60,10.1%,$1.20M,20000,14120,5880,70.6%,High-density purpose-built student housing community located steps away from major tier-1 public university campus centers.,Fully-furnished modern student layouts,100% pre-leased ahead of academic year,Direct walking distance proximity to main campus,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=69&query=residential&uniq_id=asset_69
Crestview Shopping Centre,"Phoenix, AZ",Commercial,$60,8.8%,$2.40M,40000,8840,31160,22.1%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=70&query=commercial&uniq_id=asset_70
Apex Mixed-Use Plaza,"Seattle, WA",Commercial,$50,9.6%,$2.00M,40000,26719,13281,66.8%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=71&query=commercial&uniq_id=asset_71
Legacy Eco-Friendly Apartments,"San Francisco, CA",Residential,$90,9.1%,$4.50M,50000,43950,6050,87.9%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=72&query=residential&uniq_id=asset_72
Vista Eco-Friendly Apartments,"Phoenix, AZ",Residential,$85,10.5%,$1.70M,20000,8240,11760,41.2%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&sig=73&query=residential&uniq_id=asset_73
